province,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Beijing,First,1,Eastern,4,1,3,3
Shanghai,First,1,Eastern,2,1,3,3
Zhejiang,First,1,Eastern,5,1,3,3
Tianjin,First,1,Eastern,7,1,3,3
Jiangsu,Second,2,Eastern,1,1,3,3
Shandong,Second,2,Eastern,6,1,3,2
Fujian,Second,2,Eastern,3,1,3,3
Anhui,Second,3,Central,8,1,3,3
Chongqing,Second,3,Western,10,1,3,2
Hubei,Second,3,Central,9,1,3,3
Qinghai,Third,4,Western,23,2,1,4
Tibet,Third,4,Western,17,2,2,1
Guangdong,Fourth,5,Eastern,11,1,3,3
Hunan,Fourth,5,Central,13,1,3,3
Henan,Fourth,5,Central,15,1,3,3
Hebei,Fourth,5,Eastern,14,1,3,3
Gansu,Fourth,6,Western,24,2,1,2
Yunnan,Fourth,6,Western,20,1,3,3
Guizhou,Fourth,6,Western,22,1,3,3
Ningxia,Fourth,6,Western,16,2,1,4
Sichuan,Fourth,6,Western,19,1,3,3
Xinjiang,Fourth,6,Western,18,2,1,2
Jiangxi,Fourth,6,Central,12,1,3,3
Guangxi,Fourth,6,Western,26,1,3,3
Jilin,Fourth,6,Northeastern,21,2,1,2
Inner Mongolia,Fourth,7,Western,25,2,1,2
Shaanxi,Fourth,7,Western,27,1,3,3
Shanxi,Fourth,7,Central,30,2,1,2
Hainan,Fourth,7,Eastern,31,2,1,2
Heilongjiang,Fourth,7,Northeastern,29,2,1,2
Liaoning,Fourth,7,Northeastern,28,1,3,3
