province,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Beijing,First,1,Eastern,4,1,2,2
Shanghai,First,1,Eastern,2,1,2,2
Zhejiang,First,1,Eastern,5,2,3,4
Tianjin,First,1,Eastern,7,1,2,1
Jiangsu,Second,2,Eastern,1,1,2,2
Shandong,Second,2,Eastern,6,1,2,2
Fujian,Second,2,Eastern,3,1,3,4
Anhui,Second,3,Central,8,2,1,3
Chongqing,Second,3,Western,10,1,2,2
Hubei,Second,3,Central,9,2,3,4
Qinghai,Third,4,Western,23,1,2,1
Tibet,Third,4,Western,17,2,1,3
Guangdong,Fourth,5,Eastern,11,2,3,4
Hunan,Fourth,5,Central,13,1,2,1
Henan,Fourth,5,Central,15,2,1,3
Hebei,Fourth,5,Eastern,14,1,2,2
Gansu,Fourth,6,Western,24,2,1,3
Yunnan,Fourth,6,Western,20,2,1,3
Guizhou,Fourth,6,Western,22,1,2,1
Ningxia,Fourth,6,Western,16,2,1,3
Sichuan,Fourth,6,Western,19,2,1,3
Xinjiang,Fourth,6,Western,18,2,1,3
Jiangxi,Fourth,6,Central,12,2,3,4
Guangxi,Fourth,6,Western,26,2,3,4
Jilin,Fourth,6,Northeastern,21,2,1,3
Inner Mongolia,Fourth,7,Western,25,2,1,3
Shaanxi,Fourth,7,Western,27,2,1,3
Shanxi,Fourth,7,Central,30,1,2,2
Hainan,Fourth,7,Eastern,31,2,3,4
Heilongjiang,Fourth,7,Northeastern,29,2,1,3
Liaoning,Fourth,7,Northeastern,28,1,2,1
